Strategies selected are: 
structure_name mc_cycles cal_time cal_steps rmsd_to_p26 restraint_scale_end R_start R_end rmsd(b)_start rmsd(b)_end
[opt_qm]
200_WG13-new/1.2 3.7 144.34401 134.3 1.39409579476 1.0 0.57862 0.54525 0.08267 0.02747
200_WG13-new/1.5 3.8 152.70312 145.3 1.70551748595 1.0 0.57266 0.54542 0.08543 0.02786
201_WG12-new/0.3 3.0 117.02866 103.0 0.251679946407 1.0 0.14008 0.14498 0.08592 0.02611
201_WG12-new/0.6 4.7 185.31807 176.1 0.607011239728 1.0 0.24385 0.39011 0.0856 0.02584
201_WG12-new/0.9 4.7 188.06721 186.5 0.830621581337 1.0 0.42282 0.46428 0.0853 0.02602
201_WG12-new/1.2 3.4 134.31545 135.7 1.38304391124 1.0 0.63321 0.53684 0.08479 0.02743
201_WG12-new/1.5 3.7 149.42419 145.6 1.67531459007 1.0 0.58971 0.58382 0.08467 0.02769
202_WG08-new/0.3 2.9 112.71912 104.3 0.317900853576 1.0 0.22672 0.17761 0.0878 0.02541
202_WG08-new/0.6 3.5 142.3263 137.3 0.593999872912 1.0 0.28689 0.32801 0.08534 0.02509
202_WG08-new/0.9 5.2 215.67334 220.6 0.916992991339 1.0 0.48236 0.4644 0.08347 0.02698
202_WG08-new/1.2 3.9 158.50422 159.6 1.28688627738 1.0 0.54762 0.55023 0.08575 0.02792
202_WG08-new/1.5 3.2 125.0175 120.8 1.70940123538 1.0 0.67531 0.58752 0.08482 0.02872
203_WG11-new/0.3 3.6 137.67786 128.4 0.426828345194 1.0 0.12136 0.1186 0.09037 0.02687
203_WG11-new/0.6 4.6 185.51697 177.0 0.632572378138 1.0 0.61989 0.41103 0.08712 0.02737
203_WG11-new/0.9 2.9 108.60503 100.3 1.07757130153 1.0 0.56112 0.5392 0.08375 0.02733
203_WG11-new/1.2 3.8 157.58816 152.6 1.41976965311 1.0 0.58931 0.53723 0.08358 0.0278
203_WG11-new/1.5 3.8 146.061 137.1 1.83208010794 1.0 0.49397 0.52207 0.08563 0.02787
204_WG04-new/0.3 3.1 121.34998 108.9 0.289652183499 1.0 0.14098 0.19216 0.0863 0.02551
204_WG04-new/0.6 4.3 180.16825 178.5 0.593368516799 1.0 0.34755 0.36812 0.08883 0.0259
204_WG04-new/0.9 3.4 133.39606 119.2 1.09720763769 1.0 0.51502 0.55638 0.085 0.0277
204_WG04-new/1.2 3.2 126.40956 121.7 1.46609155488 1.0 0.65742 0.55457 0.08646 0.02827
204_WG04-new/1.5 4.4 183.79448 181.8 1.6897420592 1.0 0.4887 0.54705 0.08264 0.02805
205_WG05-new/0.3 3.4 135.0408 127.1 0.395592245993 1.0 0.16815 0.13075 0.08635 0.02553
205_WG05-new/0.6 2.7 101.27034 91.3 0.723206895186 1.0 0.33065 0.43101 0.08489 0.02751
205_WG05-new/0.9 3.6 143.46692 134.2 1.05001206029 1.0 0.45378 0.50723 0.0853 0.02813
205_WG05-new/1.2 4.1 165.46709 161.5 1.41222395161 1.0 0.47957 0.53635 0.08496 0.02827
205_WG05-new/1.5 4.2 172.87628 167.3 1.71792027816 1.0 0.42695 0.51012 0.08815 0.02793
206_WGG06-new/0.3 3.3 139.13436 123.5 0.267549764467 1.0 0.23608 0.15294 0.08758 0.0258
206_WGG06-new/0.6 4.4 183.84139 175.7 0.544786426012 1.0 0.47385 0.30037 0.0889 0.02632
206_WGG06-new/0.9 5.5 237.19345 240.1 0.777095396919 1.0 0.46148 0.4111 0.08522 0.02651
206_WGG06-new/1.2 4.8 202.07392 196.4 1.22852964769 1.0 0.34052 0.57998 0.08511 0.02869
206_WGG06-new/1.5 3.3 137.72511 126.7 1.64540263308 1.0 0.46201 0.60713 0.08402 0.02907
207_WGG08-new/0.3 2.5 98.62383 82.7 0.332263287461 1.0 0.21488 0.18704 0.08846 0.0263
207_WGG08-new/0.6 3.5 146.16973 130.3 0.67261804618 1.0 0.50531 0.36967 0.08672 0.02635
207_WGG08-new/0.9 3.9 163.32683 148.1 0.930749572059 1.0 0.6394 0.47769 0.08693 0.0264
207_WGG08-new/1.2 4.3 185.88154 175.8 1.1632525177 1.0 0.63618 0.55304 0.08439 0.02667
207_WGG08-new/1.5 4.7 203.34567 190.7 1.46999385694 1.0 0.62053 0.60953 0.08643 0.0268
208_WGG04-new/0.3 3.7 150.68163 132.5 0.170805323774 1.0 0.24111 0.10922 0.08862 0.02665
208_WGG04-new/0.6 6.1 259.51824 251.7 0.452508226664 1.0 0.30062 0.24386 0.0844 0.02752
208_WGG04-new/0.9 4.0 168.10766 158.7 1.04774288055 1.0 0.38015 0.39201 0.08713 0.02892
208_WGG04-new/1.2 3.6 151.92309 137.7 1.50090104597 1.0 0.36181 0.42839 0.0863 0.02866
208_WGG04-new/1.5 4.6 194.61822 186.5 1.75979474881 1.0 0.44504 0.50259 0.08693 0.02764
209_WGG03-new/0.3 2.8 114.73758 92.6 0.326353259687 1.0 0.23377 0.18334 0.08572 0.02636
209_WGG03-new/0.6 3.1 123.527 103.9 0.656913784362 1.0 0.5665 0.35823 0.08506 0.02656
209_WGG03-new/0.9 3.7 152.17903 140.3 0.901535684687 1.0 0.79347 0.46532 0.08643 0.02648
209_WGG03-new/1.2 3.9 157.69942 152.5 1.22330299559 1.0 0.74541 0.56615 0.08464 0.02664
209_WGG03-new/1.5 5.1 216.6792 215.2 1.46157632515 1.0 0.72854 0.59963 0.08464 0.0267
210_WGG05-new/0.3 2.2 82.25768 69.2 0.281540106523 1.0 0.15556 0.14745 0.09046 0.02889
210_WGG05-new/0.6 3.7 155.71154 143.1 0.688811851447 1.0 0.36711 0.31415 0.08393 0.02873
210_WGG05-new/0.9 4.1 169.29788 159.6 1.0917528835 1.0 0.53366 0.49366 0.08706 0.02806
210_WGG05-new/1.2 4.3 187.41753 181.2 1.52896743396 1.0 0.54273 0.55574 0.08807 0.02814
210_WGG05-new/1.5 3.9 159.57994 140.5 1.7818581539 1.0 0.58204 0.6037 0.0819 0.02817
211_WGG02-new/0.3 3.1 128.32848 108.9 0.387765708659 1.0 0.1882 0.11648 0.09043 0.02688
211_WGG02-new/0.6 3.8 155.86517 144.6 0.67377500291 1.0 0.45491 0.35134 0.08675 0.02818
211_WGG02-new/0.9 3.2 134.26985 119.5 1.00017154953 1.0 0.4712 0.44101 0.08668 0.0284
211_WGG02-new/1.2 4.1 174.75366 161.9 1.41721146911 1.0 0.3834 0.4841 0.0836 0.02926
211_WGG02-new/1.5 4.3 178.12013 170.4 1.67103917168 1.0 0.4564 0.51215 0.08542 0.029
212_WGG14-new/0.3 3.3 136.30377 121.1 0.319068650249 1.0 0.32823 0.20153 0.08037 0.02657
212_WGG14-new/0.6 4.3 178.52357 162.1 0.511790464066 1.0 0.30491 0.28249 0.0875 0.02636
212_WGG14-new/0.9 4.8 201.14905 199.0 0.833669577663 1.0 0.18416 0.42136 0.08938 0.02785
212_WGG14-new/1.2 5.1 227.29459 217.2 1.24967557422 1.0 0.32074 0.49948 0.08469 0.02854
